,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
12,0002253184-0001-8,CHANHO C JOO INC,,3731   WILSHIRE BLVD   SUITE #635,LOS ANGELES,90010-2881,3731 WILSHIRE 90010,,,,541100.0,Legal services,10,01/01/2006,,"(34.0624, -118.3075)"
13,0000000282-0001-3,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,2601 W PICO BLVD #2,LOS ANGELES,90006-3901,2601 PICO 90006-3901,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",1,01/01/1991,,
14,0002803481-0001-0,SANDRA GUADIANA,,4220 MAYCREST AVENUE,LOS ANGELES,90032-1238,4220 MAYCREST 90032-1238,,,,711510.0,"Independent artists, writers, & performers",14,11/24/2012,,"(34.0934, -118.1612)"
15,0002785586-0001-1,CARLOS A SERRANO / LUIS ERNESTO SERRANO,EL TACO GOURMET,7433 DENNY AVENUE,SUN VALLEY,91352-5115,7433 DENNY 91352-5115,,,,722211.0,Limited-service eating places,2,11/10/2014,,"(34.2054, -118.3648)"
16,0000427083-0001-7,CUSTOM WOOD FINISHES,,6031 S MAIN STREET,LOS ANGELES,90003-1217,6031 MAIN 90003-1217,,,,811420.0,Reupholstery & furniture repair,9,05/01/1996,,"(33.9844, -118.2743)"
17,0002952374-0001-1,SAEID MOHSENI TABRIZY,,4820   BELLFLOWER AVENUE   #308,NORTH HOLLYWOOD,91601-6322,4820 BELLFLOWER 91601-6322,,,,812990.0,All other personal services,2,01/01/2008,,"(34.1584, -118.3744)"
18,0002410724-0001-9,"LATHROP GPM, LLP",,2049 CENTURY PARKS  E SUITE #3500S,LOS ANGELES,90067-3101,2049 CENTURY 90067-3101,2345 GRAND BLVD SUITE #2500,KANSAS CITY,64108-2645,541100.0,Legal services,5,01/01/2009,,
19,0002470296-0003-7,KOMODO LLC,KOMODO,235 MAIN STREET,VENICE,90291-5221,235 MAIN 90291-5221,,,,,,11,12/16/2013,,"(33.9968, -118.4784)"
20,0002629510-0001-3,TINA ROCHON,FLOWERS PRONTO,1702 S ROBERTSON BLVD    #298,LOS ANGELES,90035-4316,1702 ROBERTSON 90035-4316,,,,424930.0,"Flower, nursery stock, & florists' supplies",5,01/01/2011,,"(34.0487, -118.3854)"
21,0000172875-0001-7,JOSEPH & MARIA C CARUSO,,1109 W 24TH STREET #1,SAN PEDRO,90731-4910,1109 24TH 90731-4910,1047 VIA LA PAZ,SAN PEDRO,90732-2306,531100.0,Lessors of real estate (including mini warehouses & self-storage units),15,08/01/1984,,"(33.7224, -118.3014)"
22,0002999569-0001-3,MARIA VICTORIA MENDOZA,VICTORIA'S HOUSEKEEPING,2421   RODEO ROAD,LOS ANGELES,90018-4231,2421 RODEO 90018-4231,,,,812990.0,All other personal services,10,01/13/2017,,"(34.0187, -118.3221)"
23,0002370029-0001-7,MATTHEW JOSEPH LIAN,FLUID,10646   ROCHESTER AVENUE,LOS ANGELES,90024-5010,10646 ROCHESTER 90024-5010,10646 ROCHESTER AVENUE,LOS ANGELES,90024-5010,512100.0,Motion picture & video industries (except video rental),5,01/01/2005,,"(34.0581, -118.4337)"
24,0002736408-0001-8,SHAKE VARDANIAN,M&S BEST GRILLING,18470 DEVONSHIRE STREET,NORTHRIDGE,91325-1008,18470 DEVONSHIRE 91325-1008,1302 ORANGE GROVE AVENUE,GLENDALE,91205-1417,454390.0,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",12,06/10/2014,,"(34.2572, -118.5354)"
25,0003069541-0001-6,HUNTER PROJECT FACILITIES LLC,,2428 HUNTER STREET,LOS ANGELES,90021-2504,2428 HUNTER 90021-2504,23705 VANOWEN STREET UNIT #311,WEST HILLS,91307-3030,888888.0,Medical Marijuana Collective,14,01/01/2018,,
26,0002889846-0001-5,BURNING FILM PRODUCTION LLC,,2931 TILDEN AVENUE,LOS ANGELES,90064-4013,2931 TILDEN 90064-4013,1677 GOLDEN GATE AVENUE,LOS ANGELES,90026-1013,711100.0,Performing arts companies,5,06/26/2015,,"(34.029, -118.4275)"
27,0002850008-0001-0,MARIO J ALVARADO-ALFARO,,12962 FILMORE STREET,PACOIMA,91331-1854,12962 FILMORE 91331-1854,,,,561790.0,Other services to buildings & dwellings,7,01/10/2013,,"(34.2762, -118.4153)"
28,0003093392-0001-8,"WANTERLANE, LLC",,5243 W WASHINGTON BLVD,LOS ANGELES,90016-1335,5243 WASHINGTON 90016,1555 BENEDICT CANYON DRIVE,BEVERLY HILLS,90210-2023,442200.0,Home furnishings stores,10,01/01/2019,,"(34.0417, -118.3555)"
29,0002818096-0001-6,VERONICA BARBERY,,11500 W OLYMPIC BLVD #500,LOS ANGELES,90064-1569,11500 OLYMPIC 90064-1569,,,,541990.0,"All other professional, scientific, & technical services",11,01/01/2013,,"(34.0364, -118.4441)"
30,0002802308-0001-7,ANGELL R CARTER,ANGELL'S BASKET OF LOVE,9813 S 8TH AVENUE,INGLEWOOD,90305-3246,9813 8TH 90305-3246,,,,424930.0,"Flower, nursery stock, & florists' supplies",0,01/29/2015,,"(33.9474, -118.3253)"
31,0002871156-0001-7,KESTER & QUEEN COLLISSION CENTER INC,KESTER & QUEEN COLLISION CENTER INC,6103 KESTER AVENUE,VAN NUYS,91411-2125,6103 KESTER 91411-2125,6103 KESTER AVENUE,VAN NUYS,91411-2125,811110.0,Automotive mechanical & electrical repair & maintenance,6,03/01/2015,,"(34.1811, -118.4574)"
32,0000000327-0001-2,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,4151 BEVERLY BLVD,LOS ANGELES,90004-4461,4151 BEVERLY 90004-4461,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",13,01/01/1991,,
33,0000000328-0001-7,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3049 W 8TH STREET #763,LOS ANGELES,90005-1873,3049 8TH 90005-1873,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",10,01/01/1991,,
34,0000000350-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,1150 VENICE BLVD,LOS ANGELES,90015-3214,1150 VENICE 90015-3214,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",1,01/01/1991,,
35,0000749162-0001-7,JULIETA A SORIANO-ARAGON,CHRISTIAN OLIVER,315 E 11TH STREET #C,LOS ANGELES,90015-1714,315 11TH 90015-1714,1350 CONSTANCE STREET,LOS ANGELES,90015-2719,448150.0,Clothing accessories stores,14,09/06/1989,,"(34.0377, -118.2559)"
36,0002502353-0001-6,ADAN B ORDONEZ,,201 W 64TH STREET,LOS ANGELES,90003-1417,201 64TH 90003-1417,,,,423600.0,Electrical & electronic goods,9,01/01/2007,,"(33.9813, -118.276)"
37,0000588704-0001-1,BROWN AND CALDWELL,BROWN AND CALDWELL,1000 WILSHIRE BLVD SUITE #1690,LOS ANGELES,90017-2457,1000 WILSHIRE 90017-2457,1527 COLE BLVD SUITE #300,LAKEWOOD,80401-3411,541330.0,Engineering services,14,01/01/1984,,"(34.0509, -118.2604)"
38,0002978171-0001-8,CLOPTIS LLC,,5754   FAIR AVENUE   UNIT #27,NORTH HOLLYWOOD,91601-1939,5754 FAIR 91601-1939,,,,812990.0,All other personal services,2,11/01/2016,,"(34.1753, -118.374)"
39,0002724182-0001-4,"KROSDEAL, INC.",,8939 S SEPULVEDA BLVD   SUITE #102,LOS ANGELES,90045-3605,8939 SEPULVEDA 90045-3605,,,,443130.0,Camera & photographic supplies stores,11,01/01/2014,,"(33.9549, -118.3967)"
40,0002873531-0001-4,1704 HOOPER LLC,,1704 HOOPER AVENUE,LOS ANGELES,90021-3112,1704 HOOPER 90021-3112,120 N OAKHURST DRIVE,BEVERLY HILLS,90210-5505,531100.0,Lessors of real estate (including mini warehouses & self-storage units),14,02/01/2015,,"(34.0232, -118.2449)"
41,0002869684-0001-1,RED HERRING ENTERTAINMENT INC,,3142 ROWENA AVENUE #4,LOS ANGELES,90027-2546,3142 ROWENA 90027-2546,,,,711510.0,"Independent artists, writers, & performers",4,10/27/2015,,"(34.1101, -118.2725)"
42,0002651414-0001-4,FENTON PRIMARY CENTER,,11351 DRONFIELD AVENUE,PACOIMA,91331-1404,11351 DRONFIELD 91331-1404,11828 GAIN STREET,LAKE VIEW TERRACE,91342-7132,611000.0,"Educational services (including schools, colleges, & universities)",7,09/03/2013,,"(34.2766, -118.4032)"
43,0002871220-0001-7,WHERE IS LIZZY LLC,,1514 SANBORN AVENUE,LOS ANGELES,90027-1514,1514 SANBORN 90027-1514,,,,541600.0,"Management, scientific, & technical consulting services",4,06/01/2015,,"(34.0988, -118.2786)"
44,0002847686-0001-3,HOVSEP KOSHKERIAN DDS INC,TRIPLE DENTAL,13060 GLENOAKS BLVD SUITE #105,SYLMAR,91342-3963,13060 GLENOAKS 91342-3963,,,,621210.0,Offices of dentists,7,07/20/2015,,"(34.3077, -118.4499)"
45,0003314268-0001-9,AZNIV SIMONYAN,,13317 VENTURA BLVD    #B,SHERMAN OAKS,91423-6210,13317 Ventura 91423-6210,,,,812112.0,Beauty salons,4,05/09/2022,,"(34.1468, -118.423)"
46,0002829017-0001-5,RICHARD JOHN SHERMAN,,2010 LA BREA TERRACE,LOS ANGELES,90046-2314,2010 LA BREA 90046-2314,,,,,,4,04/19/2014,,
47,0002840342-0001-5,ROHINTON GARDA,DTLA 6626,912 E 12TH STREET #B,LOS ANGELES,90021-2234,912 12TH 90021-2234,912 E 12TH STREET #B,LOS ANGELES,90021-2234,532290.0,Other consumer goods rental,14,04/20/2015,,"(34.0319, -118.2494)"
48,0000000547-0001-6,NEW CITY LIFE FOUNDATION /C,,1201 W MANCHESTER AVENUE,LOS ANGELES,90044-2237,1201 MANCHESTER 90044-2237,3533 W 58TH PLACE,LOS ANGELES,90043-3003,561500.0,Travel arrangement & reservation services,8,03/01/2000,,
49,0002870980-0001-9,VICTOR J LEBLUE II,LEBLUE FITNESS,1838 W 43RD STREET,LOS ANGELES,90062-1548,1838 43RD 90062-1548,,,,713900.0,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",8,01/01/2015,,"(34.0054, -118.3122)"
50,0002869640-0001-9,JAMES DARRELL KENNETH LINDGREN,,8824 HOLLYWOOD BLVD,LOS ANGELES,90069-1307,8824 HOLLYWOOD 90069-1307,,,,531100.0,Lessors of real estate (including mini warehouses & self-storage units),4,01/01/2016,,"(34.0998, -118.3796)"
51,0002973622-0001-9,MICHAEL TOMOLONIS JR AND MYLENE TOMOLONIS,FUN CATCHER PHOTO BOOTH,2109 N KENWOOD STREET,BURBANK,91505-1424,2109 KENWOOD 91505-1424,,,,541920.0,Photographic services,0,10/01/2015,,"(34.187, -118.3527)"
52,0000000590-0001-2,LOS ANGELES URBAN LEAGUE HEAD START STATE PRESCHOOL /C,,10611 S HOOVER STREET,LOS ANGELES,90044-4443,10611 HOOVER 90044-4443,7226 S FIGUEROA STREET,LOS ANGELES,90003-1721,624410.0,Child day care services,8,01/20/1995,,
53,0002873383-0001-5,ADRIAN CARMONA OROZCO,,2012 GRIFFIN AVENUE,LOS ANGELES,90031-3004,2012 GRIFFIN 90031-3004,,,,561740.0,Carpet & upholstery cleaning services,1,01/01/2014,,"(34.0679, -118.2116)"
54,0002616714-0001-0,ALEJANDRINA HERNANDEZ,,127 W 78TH STREET,LOS ANGELES,90003-2409,127 78TH 90003-2409,,,,711510.0,"Independent artists, writers, & performers",9,05/18/2012,,"(33.969, -118.2748)"
55,0000410578-0001-0,DOUBLE O TWO INC,INTERNATIONAL HOUSE OF PANCAKES #2,8555 VESPER AVENUE,PANORAMA CITY,91402-2914,8555 VESPER 91402-2914,24801 PICO CANYON ROAD #200,STEVENSON RANCH,91381-1762,722110.0,Full-service restaurants,6,08/02/1982,,"(34.2253, -118.4502)"
56,0002868903-0001-5,GARY STEPHEN BIAS,,7336 MATILIJA AVENUE,VAN NUYS,91405-2614,7336 MATILIJA 91405-2614,,,,812990.0,All other personal services,2,01/01/2014,,"(34.204, -118.4335)"
57,0003281882-0001-5,JACOB FELDMAN,,4018 ROCK HAMPTON DRIVE,TARZANA,91356-5719,4018 Rock Hampton 91356-5719,,,,512200.0,Sound recording industries,3,08/01/2019,,"(34.1446, -118.5359)"
58,0000000699-0001-1,THE KABBALAH CENTRE INTERNATIONAL INC,,1220 S SHENANDOAH STREET,LOS ANGELES,90035-2238,1220 SHENANDOAH 90035-2238,1062 S ROBERTSON BLVD,LOS ANGELES,90035-1505,531100.0,Lessors of real estate (including mini warehouses & self-storage units),5,02/01/2000,,
59,0002756213-0001-5,ISAAC NEWTON,ISAC NEWTON DESIGNER LINE,1714 N MCCADDEN PLACE,LOS ANGELES,90028-4677,1714 MCCADDEN 90028-4677,2205 DRAKE FALLS DRIVE,PEARLAND,77584-1761,448150.0,Clothing accessories stores,13,06/11/2014,,"(34.1017, -118.3374)"
60,0002971776-0001-9,KINNER SHAH,,6204   VISTA DEL MAR     #278,PLAYA DEL REY,90293-8826,6204 VISTA DEL MAR 90293-8826,1901 ELSINORE ROAD,RIVERSIDE,92506-1619,711510.0,"Independent artists, writers, & performers",11,10/26/2016,,"(33.9351, -118.437)"
61,0002517094-0001-3,MARY E & JOHN D MCNEIL,,4614 VENICE BLVD,LOS ANGELES,90019-5825,4614 VENICE 90019-5825,1565 OAKHURST AVENUE,LOS ALTOS,94024-6041,531100.0,Lessors of real estate (including mini warehouses & self-storage units),10,01/01/2006,,"(34.047, -118.3373)"
62,0002348000-0001-8,DEBBIE L HOFFMAN,,15366 DICKENS STREET,SHERMAN OAKS,91403-3007,15366 DICKENS 91403-3007,24774 MUREAU ROAD,HIDDEN HILLS,91302-1142,531100.0,Lessors of real estate (including mini warehouses & self-storage units),4,07/21/2006,,"(34.1539, -118.4672)"
63,0002871551-0001-7,ERIC A PORTILLO ORTIZ,,8579 ROBERT AVENUE,SUN VALLEY,91352-3355,8579 ROBERT 91352-3355,,,,238990.0,All other specialty trade contractors,6,01/01/2014,,"(34.2252, -118.3705)"
64,0003260354-0001-2,SOCAL DEMOLITION COMPANY,,319 W 18TH STREET,NATIONAL CITY,91950-5525,319 18TH 91950,319 W 18TH STREET,NATIONAL CITY,91950-5525,,,0,04/01/2021,,"(32.6665, -117.1073)"
65,0003264991-0001-1,"RENEWAL BY ANDERSEN, LLC",,1740   CRENSHAW BLVD,TORRANCE,90501-0501,1740 CRENSHAW 90501-0501,551   MAINE STREET N,BAYPORT,55003-1049,235920.0,Glass and Glazing Contractors (1997 NAICS),0,07/30/2021,,"(33.8301, -118.328)"
66,0003046642-0001-4,DEMETRIUS WILLIAMS,DW CONSTRUCTION,11852 S FIGUEROA STREET,LOS ANGELES,90061-1459,11852 FIGUEROA 90061-1459,,,,485990.0,Other transit & ground passenger transportation,15,01/01/2018,,"(33.9251, -118.2825)"
67,0003266830-0001-1,MAGICMATCH AI LLC,,1825 N LAS PALMAS AVENUE   APT #636,LOS ANGELES,90028-4557,1825 LAS PALMAS 90028,1825 N LAS PALMAS AVENUE   APT #636,LOS ANGELES,90028-4557,,,13,07/06/2021,,"(34.1047, -118.3368)"
68,0003114791-0001-8,CHARLE'S RESIDENTIAL CARE,,21001   SANTA MONICA,LOS ANGELES,90025-0025,21001 SANTA MONICA 90025-0025,12001 SANTA MONICA BLVD,LOS ANGELES,90025-2607,623000.0,Nursing & residential care facilities,11,11/08/2018,,"(34.0454, -118.4502)"
69,0003267028-0001-6,FRANCISCO ALVAREZ,MOBILE PROTECTION GUARD,11316   TAMARACK AVENUE,SAN FERNANDO,91340-3826,11316 TAMARACK 91340,11316   TAMARACK AVENUE,SAN FERNANDO,91340-3826,,,7,08/24/2021,,"(34.2757, -118.4364)"
70,0003163421-0001-2,RHONDA B. BERNSTEIN,,1626 N FULLER AVENUE APT #302,LOS ANGELES,90046-3542,1626 FULLER 90046-3542,1626 N FULLER AVENUE APT #302,LOS ANGELES,90046-3542,621330.0,Offices of mental health practitioners (except physicians),4,08/01/2019,,"(34.1006, -118.3486)"
71,0003269098-0001-6,DR KATERINA DENTAL CORPORATION,,4214 BEVERLY BLVD SUITE #209,LOS ANGELES,90004-4429,4214 BEVERLY 90004-4429,,,,621111.0,Offices of physicians (except mental health specialists),10,08/16/2021,,"(34.076, -118.301)"
72,0003188726-0001-9,GIOVANNI E YANCOR ARREAGA,GIOVANNI'S JUNK COLLECTOR,6337 HELIOTROPE AVENUE,BELL,90201-1428,6337 HELIOTROPE 90201-1428,673   HOEFNER AVENUE,LOS ANGELES,90022-3317,811490.0,Other personal &  household goods repair & maintenance,0,03/11/2020,,"(33.9778, -118.1805)"
73,0002869314-0001-1,GERRYMI BERNARDO,GERRYMI,6033 MERIDIAN STREET,LOS ANGELES,90042-2741,6033 MERIDIAN 90042-2741,,,,541400.0,"Specialized design services (including interior, industrial, graphic, & fashion design)",14,03/26/2014,,"(34.1201, -118.1877)"
74,0002872155-0001-0,FRANCISCO REYES,TSTAT MECHANICAL,1207 W CRUCES STREET,WILMINGTON,90744-1905,1207 CRUCES 90744-1905,,,,235110.0,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",15,03/15/2014,,"(33.7917, -118.2777)"
75,0002852749-0001-1,ANGELICA MARTINEZ,ANGIE'S HOUSE CLEANING,18245 LANACA STREET,LA PUENTE,91744-5918,18245 LANACA 91744-5918,,,,561720.0,Janitorial services,0,09/02/2015,,"(34.0109, -117.904)"
76,0002869383-0001-2,RAQUEL JORDANS,,1121 MOHAWK STREET,LOS ANGELES,90026-3021,1121 MOHAWK 90026-3021,,,,812990.0,All other personal services,13,10/12/2015,,"(34.0777, -118.2652)"
77,0002869976-0001-1,ARYA 1514 SAN REMO LLC,,10490 SANTA MONICA BLVD,LOS ANGELES,90025-5033,10490 SANTA MONICA 90025-5033,,,,541990.0,"All other professional, scientific, & technical services",5,03/18/2015,,"(34.0555, -118.4264)"
78,0000797206-0001-9,FERI SAYYAH,MEZON,840 SANTEE STREET #500,LOS ANGELES,90014-2299,840 SANTEE 90014-2299,840 SANTEE STREET SUITE #500,LOS ANGELES,90014-2299,424300.0,"Apparel, piece goods, & notions",14,01/01/1991,,"(34.0408, -118.2523)"
79,0002484826-0001-0,RON FORREST,ALL-RIGHT ROOFING,1652 E LA DENEY DRIVE,ONTARIO,91764-2222,1652 LA DENEY 91764-2222,POST OFFICE BOX #3622,ONTARIO,91761-0963,,,0,02/10/2010,,"(34.084, -117.6183)"
80,0002835226-0001-8,"RK ENTERTAINMENT TECHNOLOGY CONSULTING, LLC",,3056 CHANDELLE ROAD,LOS ANGELES,90046-1233,3056 CHANDELLE 90046-1233,3056 CHANDELLE ROAD,LOS ANGELES,90046-1233,541600.0,"Management, scientific, & technical consulting services",4,05/29/2015,,"(34.1262, -118.3635)"
81,0003260416-0001-5,ANGELICA GARCIA,MAH DESIGNS,10218   LANGDON AVENUE,MISSION HILLS,91345-2658,10218 LANGDON 91345,10218   LANGDON AVENUE,MISSION HILLS,91345-2658,,,7,07/01/2021,,"(34.2561, -118.4695)"
82,0003267796-0001-0,WOUND EXAM CORP,,14144 VENTURA BLVD SUITE #270,SHERMAN OAKS,91423-2737,14144 Ventura 91423-2737,,,,541700.0,Scientific research & development services,4,03/18/2021,,"(34.1494, -118.4418)"
83,0000074611-0001-0,CREATIVE HOUSING ASSOCIATES LLC,,8800 VENICE BLVD SUITE #315,LOS ANGELES,90034-3263,8800 VENICE 90034-3263,8800 VENICE BLVD SUITE #315,LOS ANGELES,90034-3263,523900.0,Other financial investment activities (including investment advice),10,04/01/2003,,"(34.0301, -118.3854)"
84,0000111620-0001-4,SOUTHERN CALIFORNIA GRANTMAKERS,,1000 N ALAMEDA STREET SUITE #230,LOS ANGELES,90012-1804,1000 ALAMEDA 90012-1804,,,,,,14,07/01/1984,,"(34.0593, -118.2361)"
85,0002892441-0001-5,LILIA'S MUSIC LESSONS,,1142 E 11TH STREET,LOS ANGELES,90021-2038,1142 11TH 90021,1142 E 11TH STREET,LOS ANGELES,90021-2038,611000.0,"Educational services (including schools, colleges, & universities)",14,09/01/2015,,"(34.0314, -118.246)"
86,0003141996-0001-4,GENIUS SALES NT LLC,GENIUS LABS,6960 S CENTINELA AVENUE,LOS ANGELES,90230-6305,6960 CENTINELA 90230-6305,556 N DIAMOND BAR BLVD SUITE #101,DIAMOND BAR,91765-1054,424920.0,"Books, periodicals, & newspapers",11,07/15/2019,,"(33.9838, -118.3997)"
87,0000119447-0001-5,PAURAIC CROSSAN,,1661 S BUNDY DRIVE APT #307,LOS ANGELES,90025-2645,1661 BUNDY 90025-2645,,,,235420.0,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",11,03/11/1994,,"(34.0374, -118.4601)"
88,0003267157-0001-1,LEON RBIBO,,12403   ERWIN STREET,NORTH HOLLYWOOD,91606-4508,12403 ERWIN 91606,12403   ERWIN STREET,NORTH HOLLYWOOD,91606-4508,721100.0,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",2,08/25/2021,,"(34.1833, -118.4032)"
89,0002623703-0001-6,NOEMI ESPINO,HOME DESIGN BLUEPRINTS,13437 VICTORY BLVD APT #24,VAN NUYS,91401-1860,13437 VICTORY 91401-1860,,,,541400.0,"Specialized design services (including interior, industrial, graphic, & fashion design)",2,05/01/2012,,"(34.187, -118.4261)"
90,0002869658-0001-9,RYAN JAMES SPEERS,RYAN SPEERS PHOTOGRAPHER,6126 ROMAINE STREET UNIT #D,LOS ANGELES,90038-3995,6126 ROMAINE 90038-3995,,,,541920.0,Photographic services,13,11/01/2014,,"(34.0889, -118.3255)"
91,0002871972-0001-1,ARMEN MANUKYAN,,11153 SATICOY STREET,SUN VALLEY,91352-4727,11153 SATICOY 91352-4727,,,,488000.0,Support activities for transportation (including motor vehicle towing),2,01/01/2013,,"(34.2084, -118.3735)"
92,0000215911-0002-2,"AVIBANK MFG,INC",,11500 SHERMAN WAY,N HOLLYWOOD,91605-5827,11500 SHERMAN 91605-5827,11500 SHERMAN WAY,NORTH HOLLYWOOD,91605-5827,332000.0,Fabricated metal product mfg.,2,01/01/1999,,"(34.2011, -118.3815)"
93,0003293756-0001-5,BHI RESIDENTIAL LONG TERM CORPORATION,,732 S SPRING STREET APT #1021,LOS ANGELES,90014-3058,732 SPRING 90014-3058,,,,,,14,09/01/2021,,"(34.0435, -118.2527)"
94,0002291298-0002-7,WESTERN STATES CABINET WHOLESALERS VN INC,,12201 W PICO BLVD,LOS ANGELES,90064-1134,12201 PICO 90064-1134,360 E 1ST STREET UNIT #190,TUSTIN,92780-3211,423300.0,Lumber & other construction materials,11,08/17/2012,,"(34.0288, -118.4512)"
95,0003187998-0001-2,ALEXANDRA HIRSCH,,3041 N PARK WAY,SAN DIEGO,92104-3606,3041 PARK 92104-3606,,,,,,0,03/02/2020,,"(32.7474, -117.1281)"
96,0002685724-0001-1,EVE 6,,25 VREELAND ROAD,FLORHAM PARK,07932-1902,25 VREELAND 07932-1902,POST OFFICE BOX #896,PINE BROOK,07058-0896,711510.0,"Independent artists, writers, & performers",0,01/01/2005,,
97,0003321887-0001-5,MICHAEL BOHLEY,,19329 DONORA AVENUE,TORRANCE,90503-1332,19329 DONORA 90503-1332,,,,812990.0,All other personal services,0,01/01/2018,,"(33.8545, -118.3677)"
98,0000001168-0001-2,THE SKID ROW HOUSING TRUST,,114 E 5TH STREET,LOS ANGELES,90013-1416,114 5TH 90013-1416,1317 E 7TH STREET,LOS ANGELES,90021-1101,561300.0,Employment services,9,10/01/1996,,
