LocationType,LocationName,Address,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Senior Citizen Centers,ANDERSON MEMORIAL SENIOR CITIZEN CENTER,"828 S. Mesa St. San Pedro, CA 90731",https://www.laparks.org/scc/anderson-memorial,(310) 548-7596,15,33.7363183,-118.2856054
Recreation Center,ANDRES AND MARIA CARDENAS RECREATION CENTER (A.K.A. BLYTHE STREET PARK),"14740 Blythe St., Panorama City, CA 91402",https://www.laparks.org/reccenter/andres-maria-ca%CC%81rdenas,(818) 781-3952,6,34.214908,-118.454515
Skate Parks,ANDRES AND MARIA CARDENAS RECREATION CENTER (A.K.A. BLYTHE STREET PARK),"14740 Blythe St., Panorama City, CA 91402",https://www.laparks.org/reccenter/andres-maria-ca%CC%81rdenas,(818) 781-3952,6,34.214908,-118.454515
Historic,ANDRES PICO ADOBE,"10940 Sepulveda Blvd., Mission Hills, CA 91345",https://www.laparks.org/historic/andres-pico-adobe,(818) 365-7810,7,34.2686624,-118.4654617
Parks,ANGELES MESA PARK,"2929 West 48th St., Los Angeles, CA 90037",https://www.laparks.org/park/angeles-mesa,(310) 548-7598,8,34.000044,-118.3252118
Banquet,Angels Gate Park,"3601 Gaffey St., San Pedro, CA 90731",https://www.laparks.org/park/angels-gate-park,(310) 548-7705,15,33.71246874,-118.2944794
Parks,Angels Gate Park,"3601 Gaffey St., San Pedro, CA 90731",https://www.laparks.org/park/angels-gate-park,(310) 548-7705,15,33.71246874,-118.2944794
Tennis Court,ARTHUR ASHE CENTER AT RANCHO CIENEGA RECREATION CENTER,"5001 Rodeo Road, Los Angeles, CA 90016",https://www.laparks.org/sports/tennis/facility/arthur-ashe,(323) 290-3141,10,34.0223792,-118.3517322
Parks,ASCOT HILLS PARK,"4371 Multnoma St. Los Angeles, CA 90032",https://www.laparks.org/park/ascot-hills,(213) 485-4833,14,34.0697121,-118.1897045
Parks,Augustus F. Hawkins Nature Park,"5790 Compton Ave., Los Angeles, CA 90011",https://www.laparks.org/reccenter/augustus-f-hawkins-natural,(323) 581-4498,9,33.9902919,-118.2477124
Recreation Center,Augustus F. Hawkins Nature Park,"5790 Compton Ave., Los Angeles, CA 90011",https://www.laparks.org/reccenter/augustus-f-hawkins-natural,(323) 581-4498,9,33.9902919,-118.2477124
Museums,AUTRY NATIONAL CENTER,"4700 Western Heritage Drive, Los Angeles, CA 90027",https://www.laparks.org/museum/autry-national-center,,4,34.1487062,-118.281466
Banquet,AVERILL PARK,"1300 Dodson Ave., San Pedro, CA 90732",https://www.laparks.org/park/averill,(310) 548-7598 / (310) 548-7675,15,33.7324944,-118.3118563
Parks,AVERILL PARK,"1300 Dodson Ave., San Pedro, CA 90732",https://www.laparks.org/park/averill,(310) 548-7598 / (310) 548-7675,15,33.7324944,-118.3118563
Golf,Balboa Golf Course,"16821 Burbank Blvd. Encino, CA 91436",https://www.laparks.org/golf/balboa-golf-course,,6,34.17009,-118.497108
Recreation Center,BALBOA SPORTS COMPLEX,"17015 Burbank Blvd., Encino, CA 91316",https://www.laparks.org/reccenter/balboa-sports-complex,(818) 756-9642,6,34.17431,-118.503314
Pay Tennis,BALBOA TENNIS COURTS,"5651 Balboa Blvd., Encino, CA 91316",https://www.laparks.org/sports/tennis/facility/balboa,(818) 995-6570,6,34.173115,-118.5012075
Tennis Court,BALBOA TENNIS COURTS,"5651 Balboa Blvd., Encino, CA 91316",https://www.laparks.org/sports/tennis/facility/balboa,(818) 995-6570,6,34.173115,-118.5012075
Playground,BALDWIN HILLS RECREATION CENTER,"5401 Highlight Pl., Los Angeles, CA 90016",https://www.laparks.org/reccenter/baldwin-hills,(323) 934-0746,10,34.0235109,-118.3642022
Recreation Center,BALDWIN HILLS RECREATION CENTER,"5401 Highlight Pl., Los Angeles, CA 90016",https://www.laparks.org/reccenter/baldwin-hills,(323) 934-0746,10,34.0235109,-118.3642022
Parks,BANDINI CANYON PARK,"West Sepulveda St. Between Bandinist and Marshall Court, San Pedro, CA 90731",https://www.laparks.org/park/bandini-canyon,(310) 548-7598,15,33.745909,-118.295071
Year Round Pool,BANNING POOL,"1450 N. Avalon Blvd., Wilmington, CA 90744",https://www.laparks.org/aquatic/year-round/banning-pool,"(310) 548-7420, (310) 548-7421, (310) 548-7422",15,33.7922574,-118.2633778
Free Tennis,BANNING RECREATION CENTER,"1331 Eubank Ave., Wilmington, CA 90744",https://www.laparks.org/reccenter/banning,(310) 548-7776,15,33.7906338,-118.2565656
Outdoor Fitness,BANNING RECREATION CENTER,"1331 Eubank Ave., Wilmington, CA 90744",https://www.laparks.org/reccenter/banning,(310) 548-7776,15,33.7906338,-118.2565656
Recreation Center,BANNING RECREATION CENTER,"1331 Eubank Ave., Wilmington, CA 90744",https://www.laparks.org/reccenter/banning,(310) 548-7776,15,33.7906338,-118.2565656
Museums,BANNING RESIDENCE MUSEUM,"401 East M Street, Wilmington, CA 90744",https://www.laparks.org/museum/banning-residence-museum,(310) 548-7777,15,33.7890881,-118.2585918
Historic,BARNSDALL ART PARK,"4800 Hollywood Blvd., Los Angeles, CA 90027",https://www.laparks.org/historic/barnsdall-art-park,(323) 660-4254,13,34.1015282,-118.2943343
Museums,Barnsdall Art Park,"4800 Hollywood Blvd., Los Angeles, CA 90027",https://www.laparks.org/reccenter/barnsdall-art,(323) 644-6275,13,34.1015282,-118.2943343
Parks,BARNSDALL ART PARK,"4800 Hollywood Blvd., Los Angeles, CA 90027",https://www.laparks.org/historic/barnsdall-art-park,(323) 660-4254,13,34.1015282,-118.2943343
Free Tennis,Barrington Recreation Center,"333 S. Barrington Ave., Los Angeles, CA 90049",https://www.laparks.org/reccenter/barrington,(310) 476-4866,11,34.0613139,-118.4688748
Recreation Center,Barrington Recreation Center,"333 S. Barrington Ave., Los Angeles, CA 90049",https://www.laparks.org/reccenter/barrington,(310) 476-4866,11,34.0613139,-118.4688748
Parks,BEE CANYON PARK,"13150 Sesnon Blvd., Granada Hills, CA 91344",https://www.laparks.org/park/bee-canyon,(818) 363-3556,12,34.3073898,-118.5104468
Parks,BELL CANYON PARK,24544 W. BELL CANYON RD.,https://www.laparks.org/park/bell-canyon,,12,34.198488,-118.65867
Outdoor Fitness,BELLEVUE RECREATION CENTER,"826 Lucile Ave., Los Angeles, CA 90026",https://www.laparks.org/reccenter/bellevue,(323) 664-2468,13,34.0840156,-118.2834458
Parks,BELLEVUE RECREATION CENTER,"826 Lucile Ave., Los Angeles, CA 90026",https://www.laparks.org/reccenter/bellevue,(323) 664-2468,13,34.0840156,-118.2834458
Recreation Center,BELLEVUE RECREATION CENTER,"826 Lucile Ave., Los Angeles, CA 90026",https://www.laparks.org/reccenter/bellevue,(323) 664-2468,13,34.0840156,-118.2834458
Outdoor Fitness,BENNY H. POTTER WEST ADAMS AVENUES MEMORIAL PARK,"2413 Second Ave., Los Angeles, CA 90018",https://www.laparks.org/park/bennyHPotterPk,(323) 373-9483,10,34.0343859,-118.3193969
Parks,BENNY H. POTTER WEST ADAMS AVENUES MEMORIAL PARK,"2413 Second Ave., Los Angeles, CA 90018",https://www.laparks.org/park/bennyHPotterPk,(323) 373-9483,10,34.0343859,-118.3193969
Playground,BENNY H. POTTER WEST ADAMS AVENUES MEMORIAL PARK,"2413 Second Ave., Los Angeles, CA 90018",https://www.laparks.org/park/bennyHPotterPk,(323) 373-9483,10,34.0343859,-118.3193969
Senior Citizen Centers,BETTY HILL SENIOR CITIZEN CENTER,"3570 Denker Ave. Los Angeles, CA 90018",https://www.laparks.org/scc/betty-hill,(323) 733-1946,8,34.0230218,-118.3044046
Parks,BEVERLY GLEN PARK,"2448 Angelo Dr, Los Angeles, CA 90077",https://www.laparks.org/park/beverly-glen,(310) 836-1040,5,34.118027,-118.4428746
Parks,BIRD SANCTUARY,"2900 N. Vermont Ave., Los Angeles, CA 90027",https://www.laparks.org/park/bird-sanctuary,(818) 243-1145,4,34.1237718,-118.2970441
Parks,BISHOP CANYON,"929 Academy Rd., Los Angeles, CA 90012",https://www.laparks.org/park/bishop-canyon,(213) 485-5054,1,34.0808996,-118.2378951
Historic,BOLTON HALL HISTORICAL MUSEUM,"10110 Commerce Ave., Tujunga, CA 91042",https://www.laparks.org/historic/bolton-hall-historical-museum,(818) 352-3420,7,34.2526458,-118.2881745
Parks,BOND AREA,"Los Feliz Blvd., Los Angeles, CA 90027",https://www.laparks.org/park/bond-area,(323) 664-6611,4,34.12230514,-118.2695282
Senior Citizen Centers,BOYLE HEIGHTS SENIOR CITIZEN CENTER,"2839 E. 3rd St. Los Angeles, CA 90023",https://www.laparks.org/scc/boyle-heights,(323) 264-5757,14,34.0390299,-118.205271
Recreation Center,BOYLE HEIGHTS SPORTS CENTER,"933 S. Mott St., Los Angeles, CA 90023",https://www.laparks.org/reccenter/boyle-heights-sports,(323) 264-5136,14,34.0321209,-118.21414
Parks,BRAND PARK,"15174 San Fernando Mission Rd., Mission Hills, CA 91345",https://www.laparks.org/park/brand,(818) 756-8189,7,34.2722414,-118.4575624
Banquet,Brand Park Community Center,"15121 Brand Boulevard, Mission Hills, CA 91345",https://www.laparks.org/reservations/brandpark,(818) 361-1377,7,34.2721293,-118.4610377
Reservations,Brand Park Community Center,"15121 Brand Boulevard, Mission Hills, CA 91345",https://www.laparks.org/reservations/brandpark,(818) 361-1377,7,34.2721293,-118.4610377
Free Tennis,BRANFORD RECREATION CENTER,"13306 Branford St., Arleta, CA 91331",https://www.laparks.org/reccenter/branford,(818) 893-4923,6,34.2322124,-118.4226105
Recreation Center,BRANFORD RECREATION CENTER,"13306 Branford St., Arleta, CA 91331",https://www.laparks.org/reccenter/branford,(818) 893-4923,6,34.2322124,-118.4226105
Parks,BRIARWOOD PARK,"461 Almaden Court, Los Angeles, CA 90077",https://www.laparks.org/park/briarwood,(310) 836-1040,5,34.118457,-118.444605
Parks,BRONSON CANYON,"3200 Canyon Dr., Los Angeles, CA 90068",https://www.laparks.org/park/bronson-canyon,(818) 243-1145,4,34.1273643,-118.3110331
Parks,BROWNS CREEK PARK,"Browns Canyon Rd. Chatworth, CA 91311",https://www.laparks.org/park/browns-creek,(818) 756-8189,12,34.2886189,-118.591677
Parks,BUD WIENER PARK,"Via Marisol Btwn. Vias Colina & Arbolada, Los Angeles, CA 90042",https://www.laparks.org/park/budd-wiener,(213) 485-4833,14,34.0978822,-118.1835707
Parks,BUENA VISTA MEADOW PICNIC AREA,"Meadow Road (East Side of Dodger Stadium) Los Angeles, CA 90012",https://www.laparks.org/park/buena-vista-meadow-picnic-area,(213) 485-5054,1,34.0722419,-118.2285494
Parks,BURNS (ROBERT L.) PARK,"4900 Beverly Blvd., Los Angeles, CA 90004",https://www.laparks.org/park/burns,( 213 ) 485-4833,13,34.075672,-118.316199
Beach,CABRILLO BEACH,"3720 Stephen M. White Dr., San Pedro, CA 90731",https://www.laparks.org/beach/cabrillo-beach,(310) 548-2909,15,33.7113702,-118.2856603
Fishing,CABRILLO BEACH,"3720 Stephen M. White Dr., San Pedro, CA 90731",https://www.laparks.org/beach/cabrillo-beach,(310) 548-2909,15,33.7113702,-118.2856603
Recreation Center,CABRILLO BEACH BATH HOUSE,"3800 Stephen M. White Drive, San Pedro, CA 90731",https://www.laparks.org/reccenter/cabrillo-beach-bath-house,(310) 548-7554,15,33.709865,-118.283722
Aquarium,CABRILLO MARINE AQUARIUM,"3720 Stephen M White Drive, San Pedro, CA 90731",https://www.laparks.org/cma,(310) 548-7562,15,33.7113702,-118.2856603
Museums,CABRILLO MARINE AQUARIUM,"3720 Stephen M White Drive, San Pedro, CA 90731",https://www.laparks.org/cma,(310) 548-7562,15,33.7113702,-118.2856603
Banquet,CAMP HOLLYWOODLAND,"3200 Canyon Dr., Hollywood, CA 90068",https://www.laparks.org/camp/camp-hollywoodland,(323) 467-7193,4,34.1273643,-118.3110331
Camp Pool,CAMP HOLLYWOODLAND,"3200 Canyon Dr., Hollywood, CA 90068",https://www.laparks.org/camp/camp-hollywoodland,(323) 467-7193,4,34.1273643,-118.3110331
Camps,CAMP HOLLYWOODLAND,"3200 Canyon Dr., Hollywood, CA 90068",https://www.laparks.org/camp/camp-hollywoodland,(323) 467-7193,4,34.1273643,-118.3110331
Camp Pool,CAMP SEELY,"250 N. Highway 138 (P.O. Box 3372), Crestline, CA 92325",https://www.laparks.org/camp/camp-seely,213-485-4853,99,34.255168,-117.3043942
Camps,CAMP SEELY,"250 N. Highway 138 (P.O. Box 3372), Crestline, CA 92325",https://www.laparks.org/camp/camp-seely,213-485-4853,99,34.255168,-117.3043942
Parks,CANAL PARK (A.K.A. LINNIE CANAL PARK),"200 Linnie Canal, Venice Los Angeles, CA 90291",https://www.laparks.org/park/canal,(310) 836-1040,11,33.9847631,-118.4667265
Senior Citizen Centers,CANOGA PARK SENIOR CITIZEN CENTER,"7326 Jordan Ave. Canoga Park, CA 91303",https://www.laparks.org/scc/canoga,"(818) 340-2633 , Senior Nutrition: (818) 992-8094",3,34.203646,-118.602516
Parks,Carey Ranch,"Laurel Canyon Blvd. & Aztec St., Mission Hills, CA 91342",https://www.laparks.org/park/carey-ranch,(818) 756-8189,7,34.289579,-118.460935
Recreation Center,CARLIN G. SMITH RECREATION CENTER,"511 W. Ave. 46, Los Angeles, CA 90065",https://www.laparks.org/reccenter/carlin-g-smith,(323) 225-4960,1,34.1020077,-118.2111598
Outdoor Fitness,CARLTON WAY PARK,"5927 Carlton Way Los Angeles, CA 90028",https://www.laparks.org/park/carlton-way-park,(323) 467-6847,13,34.100769,-118.318951
Parks,CARLTON WAY PARK,"5927 Carlton Way Los Angeles, CA 90028",https://www.laparks.org/park/carlton-way-park,(323) 467-6847,13,34.100769,-118.318951
Parks,CARTHAY CIRCLE PARK,"McCarthy Vista & Crescent Hghts. Los Angeles, CA 90048",https://www.laparks.org/park/carthay-circle,(310) 939-8874,5,34.0635961,-118.3652242
Parks,CASTLE PEAK PARK,"24220 1/2 Clarington Dr., West Hills, CA 91304",https://www.laparks.org/park/castle-peak-park,(818) 756-8189,12,34.2078949,-118.6529108
Parks,CEDAR GROVE,"Vista Del Valle, Los Angeles, CA 90027",https://www.laparks.org/park/cedar-grove,(818) 243-1145,4,34.1295983,-118.2900602
Year Round Pool,CELES KING III POOL,"5001 Obama Blvd, Los Angeles, CA 90016",https://www.laparks.org/aquatic/year-round/celes-king-iii-pool,(213) 847-3406,10,34.0219437,-118.3503669
Parks,CENTRAL AVENUE POCKET PARK,"4222 Central Ave., Los Angeles, CA 90011",https://www.laparks.org/park/central-avenue-pocket,(310) 548-7598,9,34.006817,-118.256106
Recreation Center,CENTRAL PARK RECREATION CENTER,"1357 E. 22nd St., Los Angeles, CA 90011",https://www.laparks.org/reccenter/central,(213) 485-4435,9,34.0206714,-118.2510088
Summer Pool,CENTRAL POOL,"1357 E. 22nd St., Los Angeles, CA 90011",https://www.laparks.org/aquatic/summer/central-pool,(213) 746-4023,9,34.0206714,-118.2510088
Parks,CETA FOREST,"5201 Zoo Drive, Los Angeles, CA 90027",https://www.laparks.org/park/ceta-forest,(818) 243-1145,4,34.1469584,-118.284487
Skate Parks,CHARMETTE BONPUA (AKA Rancho Cienega Safe Spot Skate Spot),"5001 Rodeo Rd., Los Angeles, CA 90016",https://www.laparks.org/skatepark/charmette-bonpua-aka-rancho-cienega-safe-spot-skate-spot,(323) 290-2330,10,34.0219437,-118.3503669
Parks,CHASE PARK,"22525 Chase St., West Hills, CA 91304",https://www.laparks.org/park/chase,(818) 756-8189,12,34.2231458,-118.617937
Parks,CHATSWORTH OAKS PARK,"9301 Valley Circle Blvd., Chatsworth, CA 91311",https://www.laparks.org/park/chatsworth-oaks,(818) 341-6595,12,34.2397638,-118.6292005
Parks,CHATSWORTH PARK NORTH,"22300 Chatsworth St., Chatsworth, CA 91311",https://www.laparks.org/park/chatsworth-park-north,(818) 756-8187,12,34.2644388,-118.6113655
Parks,Chatsworth Park South,"22360 Devonshire St., Chatsworth, CA 91311",https://www.laparks.org/park/chatsworth-park-south,(818) 341-6595,12,34.2579156,-118.6144779
Recreation Center,CHATSWORTH RECREATION CENTER,"22360 Devonshire St., Chatsworth, CA 91311",https://www.laparks.org/reccenter/chatsworth,818-341-6595,12,34.257509,-118.614701
Horticulture,CHAVEZ RAVINE ARBORETUM,"Chavez Ravine Rd, Los Angeles, CA 90012",https://www.laparks.org/horticulture/chavez-ravine-arboretum,(213) 485-3287,1,34.08532234,-118.2460213
Parks,CHAVEZ RAVINE ARBORETUM,"Chavez Ravine Rd, Los Angeles, CA 90012",https://www.laparks.org/horticulture/chavez-ravine-arboretum,(213) 485-3287,1,34.08532234,-118.2460213
Parks,CHESTERFIELD SQUARE PARK,"1950 W. 54th St., Los Angeles, CA 90062",https://www.laparks.org/park/chesterfield-square,(310) 548-7598,8,33.99282,-118.3131355
Summer Pool,CHEVIOT HILLS POOL,"2693 Motor Ave., Los Angeles, CA 90064",https://www.laparks.org/aquatic/summer/cheviot-hills-pool,(310) 202-2844,5,34.0439111,-118.4056929
Parks,CHEVIOT HILLS RECREATION CENTER,"2551 Motor Ave., Los Angeles, CA 90064",https://www.laparks.org/reccenter/cheviot-hills,(310) 837-5186,5,34.0449998,-118.4076926
Recreation Center,CHEVIOT HILLS RECREATION CENTER,"2551 Motor Ave., Los Angeles, CA 90064",https://www.laparks.org/reccenter/cheviot-hills,(310) 837-5186,5,34.0449998,-118.4076926
Pay Tennis,CHEVIOT HILLS TENNIS COURTS,"2551 Motor Ave., Los Angeles, CA 90064",https://www.laparks.org/sports/tennis/facility/cheviot-hills,(310) 836-8879,5,34.0449998,-118.4076926
Tennis Court,CHEVIOT HILLS TENNIS COURTS,"2551 Motor Ave., Los Angeles, CA 90064",https://www.laparks.org/sports/tennis/facility/cheviot-hills,(310) 836-8879,5,34.0449998,-118.4076926
Recreation Center,CHEVY CHASE RECREATION CENTER,"4165 Chevy Chase Dr., Los Angeles, CA 90039",https://www.laparks.org/reccenter/chevychase,(818) 550-1453 / (818) 507-0340,13,34.133858,-118.2673041
Skate Parks,Chevy Chase Skate Park,"4165 Chevy Chase Drive, Los Angeles, CA 90039",https://www.laparks.org/skatepark/chevy-chase-skate-park,,13,34.133499,-118.266528
Parks,CIRCLE PARK,"76th St. at South Gramercy, Los Angeles, CA",https://www.laparks.org/park/circle,,8,33.9708902,-118.3134095
Parks,CITY HALL PARK CENTER,"200 North Main St., Los Angeles, CA 90012",https://www.laparks.org/park/city-hall,(213) 485-4833,9,34.053053,-118.2437083
Aquatic,CITYWIDE AQUATICS DIVISION - GENERAL POOL INFORMATION,"3401 Riverside., Los Angeles, CA 90027",https://www.laparks.org/aquatic/general-pool-information,(323) 906-7953,4,34.1166892,-118.2703285
Senior Citizen Centers,CLAUDE PEPPER SENIOR CITIZEN CENTER,"1762 S. La Cienega Blvd. Los Angeles, CA 90035",https://www.laparks.org/scc/claude-pepper,(310) 559-9677,10,34.0453423,-118.3766173
Parks,CLELAND AVENUE BICENTENNIAL PARK,"4800 Cleland Ave., Los Angeles, CA 90042",https://www.laparks.org/park/cleland-avenue-bicentennial,(213) 485-4833,1,34.113315,-118.211946
Year Round Pool,CLEVELAND AQUATIC CENTER,"8120 Vanalden Ave., Reseda, CA 91335",https://www.laparks.org/aquatic/year-round/cleveland-aquatic-center,(818) 756-9798,4,34.2174,-118.5487594
Parks,COHASSET MELBA PARK,"7449 Melba Ave., West Hills, CA 91307",https://www.laparks.org/park/cohasset-melba,(818) 756-8189,3,34.2052886,-118.634434
Parks,COLDWATER CANYON PARK,"12601 N. Mulholland Dr., Beverly Hills, CA 90210",https://www.laparks.org/park/coldwater-canyon,(818) 756-8190,4,34.1290097,-118.4070071
Parks,COSTANSO FIRE STATION 84 PARK,"5340 Canoga Ave Los Angeles, CA 91364",https://www.laparks.org/park/costanso-fire-station-84-park,(818) 756-8190,3,34.1671594,-118.5973691
Summer Pool,COSTELLO POOL,"3121 E. Olympic Blvd., Los Angeles, CA 90023",https://www.laparks.org/aquatic/summer/costello-pool,(323) 526-3073,14,34.0205503,-118.2106381
Senior Citizen Centers,COSTELLO SENIOR CITIZEN CENTER,"3121 E. Olympic Blvd. Los Angeles, CA 90023",https://www.laparks.org/scc/costello,(213) 485-9111,14,34.0207891,-118.211883
Parks,Country Club Heritage Plaza  (aka Wilton Place Park),"1015 S Wilton Place Los Angeles, CA 90018",https://www.laparks.org/park/country-club-heritage-plaza-aka-wilton-place-park,(213) 847-0641,10,34.0522775,-118.3145387
Parks,COUNTRY CLUB PARK HERITAGE PLAZA,"1015 S Wilton Pl, Los Angeles, CA 90019",https://www.laparks.org/park/country-club-park-heritage-plaza,(213) 485-4833,10,34.0522778,-118.3145491
Parks,CRESTWOOD HILLS RECREATION CENTER,"1000 Hanley Ave., Los Angeles, CA 90049",https://www.laparks.org/reccenter/crestwood-hills,(310) 472-5233,11,34.0767933,-118.4891654
Recreation Center,CRESTWOOD HILLS RECREATION CENTER,"1000 Hanley Ave., Los Angeles, CA 90049",https://www.laparks.org/reccenter/crestwood-hills,(310) 472-5233,11,34.0767933,-118.4891654
Parks,CRYSTAL SPRINGS,"4730 Crystal Springs Dr., Los Angeles, CA 90027",https://www.laparks.org/park/crystal-springs,(818) 243-1145,4,34.1328432,-118.2801644
Outdoor Fitness,CULVER SLAUSON PARK,"5070 South Slauson Ave., Culver City, CA 90230",https://www.laparks.org/park/culver-slauson,(310) 391-5451 ; (310) 391-5827,11,33.9936137,-118.4064761
Parks,CULVER SLAUSON PARK,"5070 South Slauson Ave., Culver City, CA 90230",https://www.laparks.org/park/culver-slauson,(310) 391-5451 ; (310) 391-5827,11,33.9936137,-118.4064761
Recreation Center,CULVER SLAUSON RECREATION CENTER,"5072 S Slauson Ave., Culver City, CA 90230",https://www.laparks.org/reccenter/culver-slauson,(310) 391-5451; (310) 391-5827,11,33.9936137,-118.4064761
Parks,CURTIS ROLAND PARK,"1287 West 38th Place, Los Angeles, CA 90037",https://www.laparks.org/park/curtis-roland,(310) 548-7598,8,34.0166391,-118.3001426
Recreation Center,CYPRESS PARK AND RECREATION CENTER,"2630 Pepper Ave., Los Angeles, CA 90065",https://www.laparks.org/reccenter/cypress,(213) 485-5384,1,34.0895554,-118.2253108
Recreation Center,CYPRESS PARK CLUB HOUSE,"3320 Pepper Ave., Los Angeles, CA 90065",https://www.laparks.org/reccenter/cypress-park-club-house,(323)226 - 0761,1,34.0909949,-118.2226555
Free Tennis,DANIELS FIELD SPORTS CENTER,"845 West 12th St., San Pedro, CA 90731",https://www.laparks.org/reccenter/daniels-field-sports,(310) 548-7728,15,33.7333196,-118.2955274
Recreation Center,DANIELS FIELD SPORTS CENTER,"845 West 12th St., San Pedro, CA 90731",https://www.laparks.org/reccenter/daniels-field-sports,(310) 548-7728,15,33.7333196,-118.2955274
