,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
10,200100509,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,1,Central,192,1,330,BURGLARY FROM VEHICLE,1822 1414 0344 1307,29,M,A,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,330.0,,,,15TH,OLIVE,34.0359,-118.2648
11,200100510,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,955,1,Central,111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,35,M,O,108.0,PARKING LOT,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,800 N  ALAMEDA                      ST,,34.0615,-118.2412
12,200100514,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1355,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,41,M,A,503.0,HOTEL,,,AA,Adult Arrest,341.0,,,,800 S  OLIVE                        ST,,34.0452,-118.2569
13,200100515,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1638,1,Central,162,1,648,ARSON,1402 1501 2004,0,X,X,404.0,DEPARTMENT STORE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,648.0,998.0,,,700 W  7TH                          ST,,34.048,-118.2577
14,200100520,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1805,1,Central,128,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0344 1822,24,F,H,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,442.0,,,,100 S  LOS ANGELES                  ST,,34.0515,-118.2424
15,211916029,11/26/2021 12:00:00 AM,11/30/2020 12:00:00 AM,730,19,Mission,1916,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,24,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,14200    BERG                         ST,,34.3055,-118.4439
16,201116159,11/29/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2018,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 2000,34,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,3200 W  AVENUE 32,,34.1186,-118.245
17,200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,5,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,624.0,,,PACIFIC COAST,VERMONT,33.7926,-118.3043
18,210916801,11/22/2021 12:00:00 AM,11/19/2020 12:00:00 AM,1200,9,Van Nuys,932,2,354,THEFT OF IDENTITY,1501 1822,46,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,14700    FRIAR                        ST,,34.1857,-118.4574
19,200100535,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1330,1,Central,152,1,210,ROBBERY,0416 0411 0344 1822 0305 0334 2004 1414 1202 1218,66,M,B,103.0,ALLEY,204.0,FOLDING KNIFE,IC,Invest Cont,210.0,,,,7TH,HILL,34.0463,-118.255
20,200914517,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735,9,Van Nuys,909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507.0,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354.0,,,,13600    LEADWELL                     ST,,34.2039,-118.4312
21,200100538,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1730,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,31,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,341.0,,,,700 W  7TH                          ST,,34.048,-118.2577
22,200100543,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1445,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0907,27,M,B,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,998.0,,,700 W  7TH                          ST,,34.048,-118.2577
23,211014725,11/18/2021 12:00:00 AM,12/28/2020 12:00:00 AM,1,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0930 0929,46,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5700    ENFIELD                      AV,,34.1748,-118.5228
24,200100546,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,700,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0913 2004 1218,62,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
25,211015072,11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,18600    COLLINS                      ST,,34.1745,-118.5383
26,201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,2700 N  VERMONT                      AV,,34.1179,-118.293
27,200100552,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,2000,1,Central,111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0305 0411 1202 1414 1402 1822 0906,71,M,W,148.0,PUBLIC RESTROOM/OUTSIDE*,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,,,,ALAMEDA,LOS ANGELES,34.0578,-118.2371
28,200815333,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,2000,8,West LA,814,2,624,BATTERY - SIMPLE ASSAULT,0417 0344 1823,50,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,100 S  ACARI                        DR,,34.0701,-118.4679
29,200100556,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,400,1,Central,141,1,121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,19,F,B,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,998.0,,,300 S  FIGUEROA                     ST,,34.0542,-118.2566
30,200100559,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,600,1,Central,111,1,310,BURGLARY,1402 1822 1414 0344,51,M,W,503.0,HOTEL,,,AO,Adult Other,310.0,,,,700 N  MAIN                         ST,,34.0583,-118.2378
31,210816993,11/24/2021 12:00:00 AM,04/28/2020 12:00:00 AM,100,8,West LA,859,2,354,THEFT OF IDENTITY,0100 0930 1822,27,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8500    CASHIO                       ST,,34.0507,-118.3762
32,201111990,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,2020,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444,33,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,3200 W  AVENUE 32,,34.1186,-118.245
33,200117988,09/15/2020 12:00:00 AM,09/03/2020 12:00:00 AM,2000,1,Central,111,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,500 N  FIGUEROA                     ST,,34.0615,-118.247
34,200100568,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1500,1,Central,166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0910 0444 0443 0334 1202 1822 2051 2049,69,M,B,801.0,MTA BUS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930.0,998.0,,,6TH,SAN JULIAN,34.0428,-118.2461
35,211015073,11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,39,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,18600    COLLINS                      ST,,34.1745,-118.5383
36,200716724,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,8400    BEVERLY                      BL,,34.0761,-118.3737
37,200914052,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,0444,57,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,14100    SYLVAN                       ST,,34.1847,-118.44
38,200100572,01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,2100,1,Central,181,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822 1414 1420,0,X,X,101.0,STREET,,,IC,Invest Cont,740.0,,,,11TH                         ST,FIGUEROA                     ST,34.0431,-118.2692
39,200810920,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000,8,West LA,841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,12100    SANTA MONICA                 BL,,34.0423,-118.4656
40,200100574,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1930,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1414,0,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,700 W  7TH                          ST,,34.048,-118.2577
41,200100576,01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,55,1,Central,195,1,330,BURGLARY FROM VEHICLE,0344 1605 1611 1822 0385 0321,24,M,H,101.0,STREET,,,AA,Adult Arrest,330.0,,,,18TH                         ST,LOS ANGELES                  ST,34.0317,-118.2626
42,200100578,01/31/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2040,1,Central,163,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 0913 0416 0447 1402 0319 0443 1420 2004,52,M,H,401.0,MINI-MART,302.0,BLUNT INSTRUMENT,AA,Adult Arrest,230.0,,,,7TH                          ST,BROADWAY,34.0456,-118.254
43,200100583,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,920,1,Central,146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004 1822 1402,38,F,H,203.0,OTHER BUSINESS,212.0,BOTTLE,AA,Adult Arrest,230.0,998.0,,,200    WINSTON                      ST,,34.0467,-118.247
44,200100584,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1645,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,55,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,998.0,,,700 S  FLOWER                       ST,,34.0487,-118.2588
45,221412410,06/15/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1700,14,Pacific,1444,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,13600    MARINA POINT                 DR,,33.9876,-118.4489
46,200100587,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1135,1,Central,163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1310 1307 0329 1402,66,F,A,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,998.0,,,8TH,SPRING,34.0431,-118.2536
47,200218458,12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,420,2,Rampart,233,1,761,BRANDISH WEAPON,1822 0334 0319 0416 0400 1402 1309 0216,34,M,W,108.0,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,761.0,998.0,,,2500    BEVERLY                      BL,,34.0708,-118.2798
48,201225288,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,115,12,77th Street,1257,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1823 0913 2038 0445,50,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",304.0,CLUB/BAT,AA,Adult Arrest,236.0,,,,500 W  77TH                         ST,,33.9698,-118.2833
49,200100596,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1600,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0344 0378,35,M,B,406.0,OTHER STORE,,,IC,Invest Cont,442.0,,,,700 W  7TH                          ST,,34.048,-118.2577
50,200407318,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,315,4,Hollenbeck,422,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,40,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,2600 N  BROADWAY,,34.0736,-118.2156
51,200407198,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,430,4,Hollenbeck,466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1813 1243,27,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,300 N  EVERGREEN                    AV,,34.0436,-118.2051
52,201112187,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,2100    HYPERION                     AV,,34.099,-118.2738
53,210109294,04/23/2021 12:00:00 AM,12/01/2020 12:00:00 AM,1200,1,Central,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726.0,POLICE FACILITY,,,AA,Adult Arrest,845.0,,,,200 E  6TH                          ST,,34.0448,-118.2474
54,200104020,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,245,1,Central,153,1,350,"THEFT, PERSON",0344 0416 0446 1822,44,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350.0,624.0,,,6TH                          ST,SPRING                       ST,34.0463,-118.2515
55,200104024,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,325,1,Central,134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,41,M,A,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,4TH                          ST,HILL                         ST,34.0503,-118.2504
56,200104027,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,1,Central,182,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421 1822,57,M,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,930.0,,,,700 W  9TH                          ST,,34.0458,-118.2614
57,200104033,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,1,Central,143,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,25,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,400 S  HILL                         ST,,34.0503,-118.2504
58,200811087,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2200,8,West LA,898,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,W,514.0,GROUP HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,8900    HARGIS                       ST,,34.0352,-118.387
59,200104035,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,1,Central,111,1,310,BURGLARY,0344 1822 1414 1605,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,700    YALE                         ST,,34.0612,-118.2417
60,200104036,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,500,1,Central,119,2,860,BATTERY WITH SEXUAL CONTACT,1218 1822 0910 0522 0408 0448 2015 1000,18,F,B,900.0,MTA - RED LINE - UNION STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
61,200104038,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0337 0340 0416 0445 1822 1218 2021 1019,57,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,7TH,SAN PEDRO,34.0401,-118.2459
62,200104039,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,344,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,55,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,800 W  7TH                          ST,,34.0487,-118.2588
63,200104041,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1030,1,Central,192,1,480,BIKE - STOLEN,1822 2032 0344,23,M,A,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,480.0,,,,HILL,WASHINGTON,34.032,-118.2657
64,200104043,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,112,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218,55,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,ALISO,SPRING,34.0561,-118.2415
65,200321450,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,300,3,Southwest,333,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,54,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,3000    WELLINGTON                   RD,,34.0261,-118.3384
66,200104047,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902.0,MTA - RED LINE - PERSHING SQUARE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,500 S  HILL                         ST,,34.0488,-118.2518
67,200104048,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902.0,MTA - RED LINE - PERSHING SQUARE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,500 S  HILL                         ST,,34.0488,-118.2518
68,200104051,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,200,1,Central,161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,22,F,A,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440.0,,,,800    FRANCISCO                    ST,,34.0487,-118.2627
69,200104054,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2330,1,Central,135,2,624,BATTERY - SIMPLE ASSAULT,0416 1266 2004,28,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,WALL,5TH                          ST,34.0495,-118.2458
70,200812213,07/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,2005,8,West LA,898,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913,42,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,956.0,,,,2800 S  BEDFORD                      ST,,34.0346,-118.3857
71,200104057,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2045,1,Central,176,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1822 0411,43,M,B,101.0,STREET,218.0,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230.0,,,,7TH,LOS ANGELES,34.0424,-118.2493
72,200104058,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1940,1,Central,135,2,624,BATTERY - SIMPLE ASSAULT,1218 1822 0416 2034 0371,46,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,LOS ANGELES                  ST,2ND                          ST,34.0485,-118.2447
73,200104060,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1800,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 2004,56,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 S  SPRING                       ST,,34.0467,-118.252
74,200104063,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,55,F,O,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,600 W  9TH                          ST,,34.0462,-118.2585
75,200104065,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1830,1,Central,118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,55,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,300 E  ANN                          ST,,34.0639,-118.2306
76,200104066,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2315,1,Central,182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 0910,0,X,X,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,9TH                          ST,GRAND                        AV,34.0444,-118.2593
77,200104069,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,545,1,Central,111,1,310,BURGLARY,1822 1414 0344 1609,0,X,X,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,800 N  BROADWAY,,34.0623,-118.2383
78,200104073,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,345,1,Central,143,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,400 S  SPRING                       ST,,34.0488,-118.25
